no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
855,Wanita,28,26-35,1012,860,daily,No,Yes,Yes,No,No,0,No,< 3 Jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,B,,Active canidate,
856,Pria,24,18-25,1714,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,A,,,
857,Wanita,24,18-25,1398,846,daily,No,Yes,No,No,No,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,,Low,New,A,,Passive canidate,
858,Pria,42,36-45,1048,848,daily,No,Yes,Yes,No,Yes,0,Yes,6-7 jt,No,Pemasaran ,,,,Moderate,Low,Low,New,A,,Active canidate,
859,Wanita,24,18-25,1127,528,,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,Low,Medium,New,B,,Future Candidates,
860,Wanita,24,18-25,786,726,daily,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Manufaktur,,,,Basic,,Low,New,B,,Active canidate,
861,Pria,28,26-35,515,509,,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Jasa / Pelayanan,,,,Basic,,Medium,New,C,,Future Candidates,
862,Pria,22,18-25,1383,860,weekly,No,Yes,Yes,No,No,0,No,6-7 jt,No,Keahlian Teknik,,,,Basic,Low,Low,New,A,,Active canidate,
863,Wanita,21,18-25,895,860,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,Low,New,A,,,
864,Pria,29,26-35,1459,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Ilmu Pengetahuan,,,,Moderate,Low,Low,New,A,,,
865,Pria,33,26-35,1376,860,daily,No,Yes,No,No,No,0,No,11-15 jt,Yes,Akuntansi / Keuangan,Weekday,,,Basic,Low,Low,Churn,A,Low,,Same Province
866,Wanita,23,18-25,279,279,daily,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Seni / Media / Komunikasi,Weekday,,,Moderate,Low,High,Churn,A,,Active canidate,
867,Pria,26,26-35,1343,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,Yes,Hukum / Legal,,,,Moderate,Low,Low,New,A,,Active canidate,
868,Wanita,26,26-35,795,615,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Personalia / SDM / HR,,,,Moderate,,Low,New,A,,Future Candidates,
869,Wanita,26,26-35,1434,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,,,,,Moderate,Low,Low,New,A,,Active canidate,
870,Wanita,33,26-35,934,641,monthly,No,Yes,No,No,No,0,Yes,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,A,,,
871,Wanita,28,26-35,1709,843,weekly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,Active canidate,
872,Pria,32,26-35,1946,860,weekly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,Low,New,,,,
873,Pria,25,18-25,1248,233,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Personalia / SDM / HR,Weekday,,,Moderate,Low,High,Churn,A,High,Active canidate,Same Province
874,Pria,28,26-35,1622,846,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Keahlian Teknik,,,,Moderate,Low,Low,New,A,,Future Candidates,
875,Pria,33,26-35,2206,860,weekly,No,Yes,No,No,Yes,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
876,Wanita,29,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
877,Pria,23,18-25,725,664,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Manufaktur,,,,Basic,,Low,New,B,,Active canidate,
878,Pria,29,26-35,1869,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,B,,,
879,Wanita,28,26-35,955,860,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
880,Wanita,24,18-25,1455,6,monthly,No,Yes,Yes,Yes,Yes,1,No,3-5 jt,Yes,Hukum / Legal,Weekday,,,Moderate,Low,High,First Active,A,Low,,Different Province
881,Pria,27,26-35,779,718,daily,No,Yes,No,No,Yes,0,Yes,6-7 jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,Passive canidate,
882,Wanita,26,26-35,650,649,monthly,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,B,,,
883,Pria,4,<=17,1452,860,weekly,No,Yes,Yes,No,No,0,No,< 3 Jt,No,Bangunan / Konstruksi,,,,Basic,,Low,New,C,,Active canidate,
884,Wanita,20,18-25,385,385,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Medium,New,B,,,
885,Pria,27,26-35,569,277,daily,Yes,Yes,Yes,No,Yes,0,No,3-5 jt,No,Teknologi Informasi (TI),Weekday,,,Basic,Low,High,Churn,B,Low,Active canidate,
886,Pria,27,26-35,2262,860,weekly,No,Yes,No,No,Yes,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
887,Wanita,22,18-25,997,860,monthly,No,Yes,No,No,Yes,0,No,8-10 jt,No,Akuntansi / Keuangan,,,,Basic,,Low,New,A,,,
888,Pria,36,36-45,1359,860,daily,No,Yes,Yes,No,Yes,0,No,6-7 jt,Yes,Pemasaran ,,,,Moderate,Low,Low,New,A,,Active canidate,
889,Pria,26,26-35,1202,528,monthly,Yes,Yes,Yes,Yes,Yes,0,Yes,3-5 jt,Yes,Hukum / Legal,Weekday,,,Moderate,Low,Medium,Churn,A,Low,,
890,Wanita,21,18-25,265,265,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,High,New,A,,,
891,Pria,35,26-35,1538,846,monthly,No,Yes,Yes,Yes,Yes,0,No,16-20 jt,Yes,Teknologi Informasi (TI),Weekday,,,Moderate,Low,Low,Churn,A,High,,
892,Wanita,22,18-25,1225,848,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,,,,Basic,Low,Low,New,B,,Active canidate,
893,Pria,22,18-25,595,595,monthly,No,Yes,No,No,No,0,No,6-7 jt,No,,,,,Basic,,Low,New,A,,,
894,Wanita,26,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
895,Pria,37,36-45,1453,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,Low,Low,New,B,,,
896,Wanita,20,18-25,695,689,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Bangunan / Konstruksi,,,,Basic,,Low,New,A,,,
