no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
979,Wanita,25,18-25,662,662,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Pemasaran ,,,,Moderate,,Low,New,A,,Future Candidates,
980,Pria,26,26-35,605,605,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Low,New,A,,,
981,Pria,22,18-25,575,568,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Medium,New,A,,,
982,Pria,25,18-25,1787,860,weekly,No,Yes,No,No,No,0,No,6-7 jt,No,Akuntansi / Keuangan,,,,Basic,,Low,New,A,,,
983,Wanita,27,26-35,1540,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,Low,Low,New,B,,,
984,Wanita,24,18-25,678,617,monthly,No,Yes,Yes,No,Yes,1,Yes,3-5 jt,No,Ilmu Pengetahuan,,,,Moderate,Low,Low,New,B,,,
985,Pria,24,18-25,350,350,monthly,Yes,Yes,Yes,No,Yes,0,No,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,Medium,Churn,B,Low,,Different Province
986,Pria,26,26-35,1434,846,daily,No,Yes,Yes,No,Yes,1,No,3-5 jt,Yes,Keahlian Teknik,,,,Basic,Low,Low,New,B,,Active canidate,
987,Pria,18,18-25,286,286,monthly,No,Yes,No,No,Yes,0,No,8-10 jt,No,Keahlian Teknik,,,,Moderate,,High,New,A,,,
988,Pria,34,26-35,936,848,weekly,No,Yes,No,No,No,0,No,16-20 jt,No,Pemasaran ,,,,Moderate,,Low,New,A,,Passive canidate,
989,Wanita,26,26-35,925,528,,No,Yes,,,No,0,No,,No,Administrasi / GA,,,,Moderate,Low,Medium,New,A,,,
990,Wanita,22,18-25,459,459,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Basic,,Medium,New,B,,Future Candidates,
991,Pria,23,18-25,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
992,Pria,26,26-35,1449,846,monthly,No,Yes,Yes,No,Yes,3,No,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,Low,Low,New,B,,Future Candidates,
993,Pria,30,26-35,283,283,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,High,New,B,,,
994,Wanita,25,18-25,1421,846,weekly,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Pemasaran ,,,,Moderate,Low,Low,New,A,,Active canidate,
995,Pria,24,18-25,596,589,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,B,,,
996,Wanita,20,18-25,335,335,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,Low,Medium,New,A,,,
997,Pria,24,18-25,152,152,,No,Yes,,,No,0,Yes,,No,Keahlian Teknik,,,,Moderate,,High,New,A,,Passive canidate,
998,,24,18-25,929,848,monthly,No,Yes,Yes,Yes,Yes,0,Yes,3-5 jt,Yes,Seni / Media / Komunikasi,,,,Moderate,Low,Low,New,A,,Future Candidates,
999,Wanita,21,18-25,689,683,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,Passive canidate,
1000,Pria,30,26-35,2102,528,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Basic,,Medium,New,B,,,
